,entry,exit,profit,draw_down,run_up
367,62.08,61.5,-0.9342783505154606,61.5,62.16
368,61.31,60.51,-1.3048442342195488,60.51,61.31
369,61.66,60.83,-1.346091469348032,60.83,61.66
370,61.71,61.07,-1.0371090584994302,61.07,61.71
371,55.62,69.19,24.39769866954333,55.62,72.74
372,70.92,73.91,4.216018048505354,70.92,78.19
373,78.85,78.44,-0.5199746353836354,78.44,79.62
374,79.46,78.19,-1.5982884470173597,78.19,83.55
375,81.64,81.18,-0.5634492895639331,81.18,82.1
376,82.28,81.42,-1.0452114730189588,81.42,82.28
377,82.41,81.29,-1.3590583667030587,81.29,83.64
378,77.83,77.5,-0.42400102788128224,77.5,77.83
379,77.5,76.66,-1.08387096774194,76.66,77.65
380,77.69,77.32,-0.4762517698545521,77.32,77.69
381,74.54,74.08,-0.6171183257311585,74.08,74.66
382,74.84,74.33,-0.6814537680384869,74.33,74.84
383,75.58,75.28,-0.39693040486901143,75.28,76.16
384,75.74,74.99,-0.9902297332981203,74.99,75.74
385,75.75,75.29,-0.6072607260726004,75.29,75.85
386,76.33,75.18,-1.5066160094327152,75.18,76.33
387,77.58,76.9,-0.8765145656096873,76.9,77.58
388,76.9,75.98,-1.1963589076723014,75.98,79.7
389,61.12,60.47,-1.0634816753926635,60.47,62.14
390,61.95,60.86,-1.7594834543987137,60.86,62.18
391,61.53,61.23,-0.4875670404680732,61.23,61.53
392,61.68,61.46,-0.3566796368352776,61.46,61.68
393,60.8,61.63,1.3651315789473761,60.66,63.02
394,62.58,62.29,-0.4634068392457613,62.29,62.63
395,62.78,62.52,-0.4141446320484188,62.52,62.78
396,63.04,62.7,-0.5393401015228338,62.7,63.42
397,62.89,62.53,-0.5724280489743938,62.53,62.89
398,63.22,62.83,-0.6168933881683047,62.83,63.22
399,63.17,62.84,-0.5223998733576041,62.84,63.17
400,63.44,63.12,-0.5044136191677207,63.12,63.44
401,63.5,63.11,-0.6141732283464596,63.11,63.59
402,35.97,35.73,-0.6672226855713115,35.73,36.14
403,36.39,35.99,-1.099203077768618,35.99,36.39
404,36.29,35.66,-1.7360154312482834,35.66,36.29
405,36.62,36.28,-0.9284543965046299,36.28,38.55
406,34.23,33.9,-0.9640666082383786,33.9,34.25
407,34.71,34.58,-0.3745318352060045,34.58,35.01
408,34.58,34.41,-0.49161364950839337,34.41,34.88
409,34.82,38.11,9.448592762780006,34.73,43.2
